Recipe_Name,Ingredients,Number_of_Ingredients,Amounts,Cooking_Time,Cooking_Time_Unit,Cooking_Time_Seconds,Calories,Sodium,Fat,Protein,Carbs,Fiber,Servings,Star_Rating,Number_of_Reviews,Course,Directions,avocado,banana,basil,beans,beef,bell pepper,broccoli,butter,carrot,celery,chicken breast,cilantro,cucumber,egg,eggplant,flour,garlic,garlic powder,ginger,green beans,ground beef,honey,lemon,lettuce,lime,mayonnaise,milk,mozzarella,mushroom,oil,olive oil,onion,oregano,paprika,pasta,pepper,potato,red onion,salmon,salt,scallion,shrimp,soy sauce,sugar,tomato,tomato paste,water,yogurt,zucchini,Actual_Ingredients,Number_of_Actual_Ingredients,Remove_Indices_1
Juicy Chicken Burger with Fried Eggplant,"['lettuce leaves', 'onion', 'oregano', 'minced chicken', 'cheese', 'oil', 'salt', 'french fries', 'red bell pepper', 'eggplant', 'coriander leaves', 'egg', 'burgers', 'sliced tomatoes', 'burger buns', 'paprika', 'garlic cloves', 'yogurt']",18,"{'lettuce leaves': '500 grams ', 'onion': '1  ', 'oregano': '1  ', 'minced chicken': '1 tablespoon ', 'cheese': '0.5 teaspoon ', 'oil': '1 teaspoon ', 'salt': '1  ', 'french fries': '1  ', 'red bell pepper': '0.5 cup ', 'eggplant': '3  ', 'coriander leaves': '1 cup ', 'egg': '1.5 cups ', 'burgers': '1  ', 'sliced tomatoes': '1  ', 'burger buns': '1  ', 'paprika': '1  ', 'garlic cloves': '1  ', 'yogurt': '1  '}",2,Hours,7200,390,640mg,29g,20g,13g,4g,6,,0,Main Dish,http://yummly.com/recipe/Juicy-Chicken-Burger-with-Fried-Eggplant-1535652,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,11,9,-1,16,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,5,-1,1,2,15,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,13,-1,-1,17,-1,"['lettuce leaves', 'onion', 'minced chicken', 'cheese', 'french fries', 'red bell pepper', 'eggplant', 'coriander leaves', 'egg', 'burgers', 'sliced tomatoes', 'burger buns', 'garlic cloves', 'yogurt']",14,"[6, 15, 2, 5]"
Flat Belly Detox water,"['lemon slices', 'mint leaves', 'watermelon', 'coconut water']",4,"{'lemon slices': '500 milliliters ', 'mint leaves': '7 scoops ', 'watermelon': '10  ', 'coconut water': '3  '}",10,Minutes,600,80,135mg,0g,3g,25g,5g,4,4.5,50,,http://yummly.com/recipe/Flat-Belly-Detox-water-1865370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['lemon slices', 'mint leaves', 'watermelon', 'coconut water']",4,[]
Classic Apple Pie,"['cinnamon', 'granny smith apples', 'nutmeg', 'water', 'allspice', 'eggs', 'salt', 'vanilla ice cream', 'lemon', 'granulated sugar', 'brown sugar', 'pie crust', 'ground cloves', 'all-purpose flour']",14,"{'cinnamon': '2  ', 'granny smith apples': '6  ', 'nutmeg': '0.5  ', 'water': '0.25 cup ', 'allspice': '0.25 cup ', 'eggs': '0.25 cup ', 'salt': '1.5 teaspoons ', 'vanilla ice cream': '0.25 teaspoon ', 'lemon': '0.25 teaspoon ', 'granulated sugar': '0.25 teaspoon ', 'brown sugar': '1 dash ', 'pie crust': '1  ', 'ground cloves': '1 teaspoon ', 'all-purpose flour': '1  '}",87,Minutes,5220,450,340mg,21g,6g,63g,5g,8,4.5,16,Dessert,http://yummly.com/recipe/Classic-Apple-Pie-9029499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,13,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,10,-1,-1,3,-1,-1,"['cinnamon', 'granny smith apples', 'nutmeg', 'allspice', 'eggs', 'vanilla ice cream', 'lemon', 'granulated sugar', 'pie crust', 'ground cloves', 'all-purpose flour']",11,"[6, 10, 3]"
Slow Cooker Lemon-Garlic Chicken,"['water', 'boneless chicken breast halves', 'lemon juice', 'fresh parsley', 'chicken bouillon granules', 'unsalted butter', 'dried oregano', 'seasoning salt', 'garlic cloves', 'freshly ground black pepper']",10,"{'water': '1 teaspoon ', 'boneless chicken breast halves': '0.5 teaspoon ', 'lemon juice': '0.25 teaspoon ', 'fresh parsley': '2 pounds ', 'chicken bouillon granules': '2 tablespoons ', 'unsalted butter': '0.25 cup ', 'dried oregano': '3 tablespoons ', 'seasoning salt': '2  ', 'garlic cloves': '1 teaspoon ', 'freshly ground black pepper': '1 tablespoon '}",10,Minutes,600,320,360mg,13g,48g,2g,0g,4,4.5,91,Main Dish,http://yummly.com/recipe/Slow-Cooker-Lemon-Garlic-Chicken-2263285,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,9,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,0,-1,-1,"['boneless chicken breast halves', 'lemon juice', 'fresh parsley', 'chicken bouillon granules', 'unsalted butter', 'garlic cloves']",6,"[7, 9, 6, 0]"
Easy Vegetable Rice Pilaf,"['chicken broth', 'onion', 'dried basil leaves, crushed', 'olive oil', 'long-grain rice', 'ground turmeric', 'frozen peas and carrots', 'garlic salt']",8,"{'chicken broth': '2 teaspoons ', 'onion': '0.5  ', 'dried basil leaves, crushed': '1 cup ', 'olive oil': '0.5 teaspoon ', 'long-grain rice': '0.5 teaspoon ', 'ground turmeric': '0.5 teaspoon ', 'frozen peas and carrots': '2 cups ', 'garlic salt': '1 cup '}",40,Minutes,2400,190,55mg,3g,6g,35g,2g,5,4.5,13,Side Dish,http://yummly.com/recipe/Easy-Vegetable-Rice-Pilaf-2574820,-1,-1,2,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['chicken broth', 'onion', 'dried basil leaves, crushed', 'long-grain rice', 'ground turmeric', 'frozen peas and carrots']",6,"[7, 3]"
Sicilian Spaghetti,"['eggplants', 'onion', 'olive oil', 'chopped tomatoes', 'pepper', 'salt', 'ground beef', 'marjoram', 'black olives', 'bell pepper', 'worcestershire sauce', 'Parmesan cheese', 'spaghetti', 'tomato paste', 'garlic cloves']",15,"{'eggplants': '1  ', 'onion': '2  ', 'olive oil': '3 cups ', 'chopped tomatoes': '1  ', 'pepper': '2  ', 'salt': '2 tablespoons ', 'ground beef': '14 ounces ', 'marjoram': '1 teaspoon ', 'black olives': '0.5 teaspoon ', 'bell pepper': '0.5 cup ', 'worcestershire sauce': '1  ', 'Parmesan cheese': '6 ounces ', 'spaghetti': '1 cup ', 'tomato paste': '1  ', 'garlic cloves': '1  '}",80,Minutes,4800,530,630mg,26g,35g,41g,9g,6,,0,Main Dish,http://yummly.com/recipe/Sicilian-Spaghetti-Food_com-91006,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,14,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,12,4,-1,-1,-1,5,-1,-1,-1,-1,3,13,-1,-1,-1,"['eggplants', 'onion', 'chopped tomatoes', 'ground beef', 'marjoram', 'black olives', 'bell pepper', 'worcestershire sauce', 'Parmesan cheese', 'spaghetti', 'tomato paste', 'garlic cloves']",12,"[5, 4, 2]"
Quinoa And Salmon Salad,"['olive oil', 'pepper', 'salt', 'white quinoa', 'carrots', 'turnip', 'cabbage', 'garlic clove', 'salmon fillets', 'chinese cabbage', 'grapefruit', 'grapefruit juice', 'lemon', 'white mushrooms', 'agave', 'mustard seed', 'mustard', 'cilantro sprigs']",18,"{'olive oil': '2  ', 'pepper': '0.5  ', 'salt': '1 teaspoon ', 'white quinoa': '5  ', 'carrots': '1  ', 'turnip': '1  ', 'cabbage': '125 grams ', 'garlic clove': '2  ', 'salmon fillets': '1  ', 'chinese cabbage': '1  ', 'grapefruit': '5 leaves ', 'grapefruit juice': '2  ', 'lemon': '1  ', 'white mushrooms': '1  ', 'agave': '1  ', 'mustard seed': '0.5  ', 'mustard': '0.5  ', 'cilantro sprigs': '2 teaspoons '}",65,Minutes,3900,320,520mg,13g,18g,34g,7g,4,,0,Salad,http://yummly.com/recipe/Quinoa-And-Salmon-Salad-682801,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,17,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,13,-1,0,-1,-1,-1,-1,1,-1,-1,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['white quinoa', 'carrots', 'turnip', 'cabbage', 'garlic clove', 'salmon fillets', 'chinese cabbage', 'grapefruit', 'grapefruit juice', 'lemon', 'white mushrooms', 'agave', 'mustard seed', 'mustard', 'cilantro sprigs']",15,"[2, 1, 0]"
Orange Chicken,"['caster sugar', 'cold water', 'vegetable oil', 'medium egg', 'pepper', 'salt', 'garlic', 'minced ginger', 'rice vinegar', 'sesame seeds', 'rice', 'oranges', 'chicken thigh fillets', 'all-purpose flour', 'garlic salt', 'cornflour', 'dark soy sauce']",17,"{'caster sugar': '0.75 cup ', 'cold water': '1  ', 'vegetable oil': '0.25 teaspoon ', 'medium egg': '0.33 cup ', 'pepper': '1 pinch ', 'salt': '1 pinch ', 'garlic': '8  ', 'minced ginger': '2 tablespoons ', 'rice vinegar': '0.5 cup ', 'sesame seeds': '2  ', 'rice': '6 tablespoons ', 'oranges': '5 tablespoons ', 'chicken thigh fillets': '2 cloves ', 'all-purpose flour': '1 teaspoon ', 'garlic salt': '1 teaspoon ', 'cornflour': '1 tablespoon ', 'dark soy sauce': '1  '}",30,Minutes,1800,1480,1570mg,99g,86g,55g,6g,4,4.5,23,Main Dish,http://yummly.com/recipe/Orange-Chicken-2559740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,15,6,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,4,-1,-1,-1,14,-1,-1,16,-1,-1,-1,1,-1,-1,"['caster sugar', 'medium egg', 'salt', 'garlic', 'minced ginger', 'rice vinegar', 'sesame seeds', 'rice', 'oranges', 'chicken thigh fillets', 'all-purpose flour', 'cornflour', 'dark soy sauce']",13,"[14, 4, 2, 1]"
Korean Chicken Meal Prep Bowls,"['sesame oil', 'garlic', 'sesame seeds', 'honey', 'rice vinegar', 'jasmine rice', 'low sodium soy sauce', 'coleslaw mix', 'ginger', 'boneless skinless chicken thighs']",10,"{'sesame oil': '10  ', 'garlic': '2 cups ', 'sesame seeds': '1 bag ', 'honey': '2 tablespoons ', 'rice vinegar': '2 tablespoons ', 'jasmine rice': '1 tablespoon ', 'low sodium soy sauce': '1 tablespoon ', 'coleslaw mix': '1 teaspoon ', 'ginger': '0.25 cup ', 'boneless skinless chicken thighs': '2 tablespoons '}",35,Minutes,2100,790,1120mg,17g,65g,91g,2g,4,5,6,Main Dish,http://yummly.com/recipe/Korean-Chicken-Meal-Prep-Bowls-2343167,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,8,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,"['sesame oil', 'garlic', 'sesame seeds', 'honey', 'rice vinegar', 'jasmine rice', 'low sodium soy sauce', 'coleslaw mix', 'ginger', 'boneless skinless chicken thighs']",10,[]
Melt In Your Mouth (MIYM) Chicken Breasts,"['garlic powder', 'seasoned salt', 'fresh ground black pepper', 'grated Parmesan cheese', 'boneless chicken breasts', 'sour cream']",6,"{'garlic powder': '1 cup ', 'seasoned salt': '2 teaspoons ', 'fresh ground black pepper': '1 teaspoon ', 'grated Parmesan cheese': '0.5 teaspoon ', 'boneless chicken breasts': '1.5 cups ', 'sour cream': '3 pounds '}",30,Minutes,1800,380,580mg,19g,50g,3g,0g,7,4.5,557,Main Dish,http://yummly.com/recipe/Melt-In-Your-Mouth-_MIYM_-Chicken-Breasts-2576662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['grated Parmesan cheese', 'boneless chicken breasts', 'sour cream']",3,"[1, 2, 0]"
Quick & Easy Chinese Noodle Soup,"['chicken stock', 'light soy sauce', 'chinese noodles', 'bok choy', 'oyster sauce', 'spring onions', 'dark soy sauce']",7,"{'chicken stock': '4 cups ', 'light soy sauce': '2  ', 'chinese noodles': '1 tablespoon ', 'bok choy': '1 tablespoon ', 'oyster sauce': '1 tablespoon ', 'spring onions': '4 ounces ', 'dark soy sauce': '4 leaves '}",10,Minutes,600,500,2100mg,22g,21g,57g,3g,2,4.5,38,,http://yummly.com/recipe/Quick-_-Easy-Chinese-Noodle-Soup-2150392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,"['chicken stock', 'light soy sauce', 'chinese noodles', 'bok choy', 'oyster sauce', 'spring onions', 'dark soy sauce']",7,[]
Victoria's Red Fish Blue Fish offers chowder out of recycled shipping container,"['pepper', 'carrots', 'worcestershire sauce', 'sweet chili sauce', 'ground coriander', 'canola', 'corn kernels', 'sea salt', 'coconut milk', 'white fish', 'finely chopped onions', 'sliced green onions', 'ground cumin', 'fresh cilantro', 'potatoes', 'cilantro leaves', 'hot sauce', 'crushed garlic', 'crushed tomatoes', 'diced celery', 'chipotle chilies in adobo sauce']",21,"{'pepper': '341 milliliters ', 'carrots': '30 milliliters ', 'worcestershire sauce': '375 milliliters ', 'sweet chili sauce': '375 milliliters ', 'ground coriander': '375 milliliters ', 'canola': '375 milliliters ', 'corn kernels': '50 milliliters ', 'sea salt': '10 milliliters ', 'coconut milk': '5 milliliters ', 'white fish': '5 milliliters ', 'finely chopped onions': '5 milliliters ', 'sliced green onions': '398 milliliters ', 'ground cumin': '3 cans ', 'fresh cilantro': '125 milliliters ', 'potatoes': '50 milliliters ', 'cilantro leaves': '30 milliliters ', 'hot sauce': '30 milliliters ', 'crushed garlic': '1 bunch ', 'crushed tomatoes': '1  ', 'diced celery': '1  ', 'chipotle chilies in adobo sauce': '1  '}",45,Minutes,2700,530,2450mg,42g,13g,35g,9g,8,,0,,http://yummly.com/recipe/Victoria_s-Red-Fish-Blue-Fish-offers-chowder-out-of-recycled-shipping-container-2312483,-1,-1,-1,-1,-1,-1,-1,-1,1,19,-1,13,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,0,14,-1,-1,7,11,-1,-1,-1,18,-1,-1,-1,-1,"['carrots', 'worcestershire sauce', 'sweet chili sauce', 'ground coriander', 'canola', 'corn kernels', 'coconut milk', 'white fish', 'finely chopped onions', 'sliced green onions', 'ground cumin', 'fresh cilantro', 'potatoes', 'cilantro leaves', 'hot sauce', 'crushed garlic', 'crushed tomatoes', 'diced celery', 'chipotle chilies in adobo sauce']",19,"[7, 0]"
Sandwich On A Stick,"['low fat cheddar cheese', 'whole grain bread', 'wish-bone ranch dressing', 'cucumber', 'torn romaine lettuce leaves', 'cherry tomatoes', 'cooked turkey']",7,"{'low fat cheddar cheese': '2 slices ', 'whole grain bread': '4 ounces ', 'wish-bone ranch dressing': '4 ounces ', 'cucumber': '8  ', 'torn romaine lettuce leaves': '4 slices ', 'cherry tomatoes': '2  ', 'cooked turkey': '0.25 cup '}",15,Minutes,900,210,390mg,10g,18g,10g,2g,4,,0,Lunch,http://yummly.com/recipe/Sandwich-on-a-stick-297692,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,"['low fat cheddar cheese', 'whole grain bread', 'wish-bone ranch dressing', 'cucumber', 'torn romaine lettuce leaves', 'cherry tomatoes', 'cooked turkey']",7,[]
Chunky Chicken Salad With Grapes,"['pepper', 'light mayonnaise', 'salt', 'seedless red grapes', 'rotisserie chicken', 'white onion', 'celery stalks']",7,"{'pepper': '1  ', 'light mayonnaise': '0.5 cup ', 'salt': '1 cup ', 'seedless red grapes': '2  ', 'rotisserie chicken': '0.5 cup ', 'white onion': '1  ', 'celery stalks': '1  '}",25,Minutes,1500,230,360mg,12g,21g,8g,<1g,6,5,1,,http://yummly.com/recipe/Chunky-Chicken-Salad-With-Grapes-2490684,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,5,-1,-1,-1,0,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['light mayonnaise', 'seedless red grapes', 'rotisserie chicken', 'white onion', 'celery stalks']",5,"[2, 0]"
Turmeric Rice,"['onion', 'olive oil', 'chicken broth low sodium', 'turmeric', 'garlic', 'salt', 'pepper', 'bay leaf', 'jasmine rice', 'butter']",10,"{'onion': '1 tablespoon ', 'olive oil': '1 tablespoon ', 'chicken broth low sodium': '0.25 cup ', 'turmeric': '4 cloves ', 'garlic': '1 cup ', 'salt': '0.5 cup ', 'pepper': '1  ', 'bay leaf': '1  ', 'jasmine rice': '1  ', 'butter': '0.5 teaspoon '}",25,Minutes,1500,250,230mg,7g,4g,41g,1g,4,4.5,3,Side Dish,http://yummly.com/recipe/Turmeric-Rice-2569768,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,6,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['onion', 'chicken broth low sodium', 'turmeric', 'garlic', 'bay leaf', 'jasmine rice', 'butter']",7,"[5, 6, 1]"
Stuffed Bell Peppers,"['bell peppers', 'olive oil', 'onion', 'pepper', 'salt', 'garlic', 'lean ground beef', 'zucchini', 'pepper jack cheese', 'Roma tomatoes', 'cooked rice']",11,"{'bell peppers': '6 whole ', 'olive oil': '2 tablespoons ', 'onion': '8 ounces ', 'pepper': '1  ', 'salt': '1  ', 'garlic': '1 whole ', 'lean ground beef': '3 cloves ', 'zucchini': '1 whole ', 'pepper jack cheese': '4 whole ', 'Roma tomatoes': '1 cup ', 'cooked rice': '2 cups '}",75,Minutes,4500,,,,,,,6,4.5,20,Main Dish,http://yummly.com/recipe/Stuffed-Bell-Peppers-1820299,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,-1,9,-1,-1,-1,7,"['bell peppers', 'onion', 'garlic', 'lean ground beef', 'zucchini', 'pepper jack cheese', 'Roma tomatoes', 'cooked rice']",8,"[4, 3, 1]"
Chicken Enchiladas,"['enchilada sauce', 'chicken breasts', 'cheese', 'flour tortillas']",4,"{'enchilada sauce': '6  ', 'chicken breasts': '3  ', 'cheese': '15 ounces ', 'flour tortillas': '1 cup '}",25,Minutes,1500,570,1730mg,20g,50g,44g,4g,4,4.5,4,Main Dish,http://yummly.com/recipe/Chicken-Enchiladas-1238029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['enchilada sauce', 'chicken breasts', 'cheese', 'flour tortillas']",4,[]
Bulgarian Stew,"['lamb', 'vegetable oil', 'ground cumin', 'dry white wine', 'onions', 'veal stock', 'garlic clove', 'red pepper', 'eggplant', 'string bean', 'tomatoes', 'orange pepper']",12,"{'lamb': '4 cups ', 'vegetable oil': '4 tablespoons ', 'ground cumin': '2  ', 'dry white wine': '1 teaspoon ', 'onions': '2  ', 'veal stock': '2 cups ', 'garlic clove': '1  ', 'red pepper': '1  ', 'eggplant': '1  ', 'string bean': '2  ', 'tomatoes': '375 cups ', 'orange pepper': '2 cups '}",70,Minutes,4200,,,,,,,6,,0,Main Dish,http://yummly.com/recipe/Bulgarian-Stew-1843394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,"['lamb', 'ground cumin', 'dry white wine', 'onions', 'veal stock', 'garlic clove', 'red pepper', 'eggplant', 'string bean', 'tomatoes', 'orange pepper']",11,[1]
Coconut Pineapple Banana Smoothie,"['pineapple juice', 'coconut milk', 'pineapple chunks', 'bananas']",4,"{'pineapple juice': '200 milliliters ', 'coconut milk': '125 grams ', 'pineapple chunks': '100 milliliters ', 'bananas': '2  '}",5,Minutes,300,400,20mg,24g,4g,48g,6g,2,4.5,28,Beverag,http://yummly.com/recipe/Coconut-Pineapple-Banana-Smoothie-601605,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['pineapple juice', 'coconut milk', 'pineapple chunks', 'bananas']",4,[]
Salad with Pink Grapefruit & Avocado,"['olive oil', 'balsamic vinegar', 'salt', 'cracked pepper', 'honey', 'baby greens', 'crumbled feta cheese', 'walnuts', 'red onion', 'avocado', 'pink grapefruit', 'grainy mustard']",12,"{'olive oil': '0.5  ', 'balsamic vinegar': '2 tablespoons ', 'salt': '2 tablespoons ', 'cracked pepper': '1 tablespoon ', 'honey': '1.5 teaspoons ', 'baby greens': '1  ', 'crumbled feta cheese': '1  ', 'walnuts': '6 cups ', 'red onion': '0.5  ', 'avocado': '0.5 cup ', 'pink grapefruit': '1.5  ', 'grainy mustard': '1  '}",25,Minutes,1500,300,520mg,23g,8g,20g,7g,4,4,9,Salad,http://yummly.com/recipe/Salad-with-Pink-Grapefruit-_-Avocado-1752520,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,8,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['balsamic vinegar', 'cracked pepper', 'honey', 'baby greens', 'crumbled feta cheese', 'walnuts', 'red onion', 'avocado', 'pink grapefruit', 'grainy mustard']",10,"[2, 0]"
Korean beef Bulgogi,"['soy sauce', 'sesame oil', 'garlic', 'cooked white rice', 'sesame seeds', 'white sugar', 'green onions', 'flank steak', 'yellow onion', 'fresh ginger', 'freshly ground black pepper']",11,"{'soy sauce': '1 pound ', 'sesame oil': '1  ', 'garlic': '0.5 cup ', 'cooked white rice': '3 tablespoons ', 'sesame seeds': '4 cloves ', 'white sugar': '2 tablespoons ', 'green onions': '2 tablespoons ', 'flank steak': '1  ', 'yellow onion': '1  ', 'fresh ginger': '1  ', 'freshly ground black pepper': '1  '}",50,Minutes,3000,330,1860mg,17g,27g,17g,2g,4,4.5,26,Main Dish,http://yummly.com/recipe/Korean-beef-Bulgogi-2171116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,10,-1,-1,-1,-1,6,-1,0,5,-1,-1,-1,-1,-1,"['soy sauce', 'sesame oil', 'garlic', 'cooked white rice', 'sesame seeds', 'green onions', 'flank steak', 'yellow onion', 'fresh ginger']",9,"[10, 5]"
Quick and Easy Sriracha Slow Cooker Chicken,"['lime juice', 'onion', 'honey', 'Sriracha sauce', 'chicken breast']",5,"{'lime juice': '2.5 pounds ', 'onion': '1  ', 'honey': '0.25 cup ', 'Sriracha sauce': '0.25 cup ', 'chicken breast': '0.25 cup '}",20,Minutes,1200,440,590mg,9g,60g,28g,1g,4,,0,Main Dish,http://yummly.com/recipe/Quick-and-Easy-Sriracha-Slow-Cooker-Chicken-2635761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['lime juice', 'onion', 'honey', 'Sriracha sauce', 'chicken breast']",5,[]
Cozy Autumn Wild Rice Soup,"['sweet potato', 'Old Bay Seasoning', 'cracked black pepper', 'garlic', 'milk', 'baby bella mushrooms', 'bay leaf', 'kale', 'white onion', 'all purpose flour', 'vegetable stock', 'kosher salt', 'celery', 'medium carrots', 'butter', 'wild rice']",16,"{'sweet potato': '6 cups ', 'Old Bay Seasoning': '1 cup ', 'cracked black pepper': '8 ounces ', 'garlic': '4 cloves ', 'milk': '2  ', 'baby bella mushrooms': '2  ', 'bay leaf': '1 pound ', 'kale': '1  ', 'white onion': '1  ', 'all purpose flour': '1.5 tablespoons ', 'vegetable stock': '4 tablespoons ', 'kosher salt': '0.33 cup ', 'celery': '1.5 cups ', 'medium carrots': '2 handfuls ', 'butter': '1  ', 'wild rice': '1  '}",60,Minutes,3600,260,940mg,7g,8g,40g,5g,8,4.5,146,,http://yummly.com/recipe/Cozy-Autumn-Wild-Rice-Soup-2515989,-1,-1,-1,-1,-1,-1,-1,14,13,12,-1,-1,-1,-1,-1,9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,5,-1,-1,8,-1,-1,-1,2,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,"['sweet potato', 'Old Bay Seasoning', 'garlic', 'milk', 'baby bella mushrooms', 'bay leaf', 'kale', 'white onion', 'all purpose flour', 'vegetable stock', 'celery', 'medium carrots', 'butter', 'wild rice']",14,"[11, 2]"
